,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
416,The Amenta,Black_metal,"Sydney, New South Wales, Australia","['Death metal, industrial metal, blackened death metal']",['1997\xa0(1997)–present (currently on indefinite hiatus)'],"['Dissident, Listenable']","['Cain Cressall', 'Timothy Pope', 'Erik Miehs', 'Dan Quinlan', 'Robin Stone']","['Cesium 137', 'Joe Haley', 'Dave Haley', 'Nathan Jenkins', 'Jarrod Krafczyk', 'Dale Harrison']"
417,Amesoeurs,Black_metal,"Bagnols-sur-Cèze, France","['Shoegazing, post-punk, black metal']",['2004–2009'],"['Code 666, Profound Lore']",,"['Neige', 'Audrey Sylvain', 'Fursy Teyssier', 'Winterhalter']"
418,Amestigon,Black_metal,,,,,,
419,Anaal Nathrakh,Black_metal,"Birmingham, England, United Kingdom","['Extreme metal', 'industrial death metal', 'industrial black metal', 'black metal', 'blackened death metal', 'grindcore']",['1999–present'],"['FETO, Season of Mist, Mordgrimm, Candlelight, Metal Blade, Earache']","['Mick Kenney', 'Dave Hunt']",['Leicia']
420,Ancient,Black_metal,"Bergen, Norway",['Black metal'],['1992–present'],"['Metal Blade, Listenable, Sleaszy Rider, Soulseller, EMP']","['Zel', 'Dhilorz', 'Nicholas Barker']",['(see below)']
421,Ancient Rites,Black_metal,"Diest, Belgium",['Black metal'],['1988–present'],"['Season of Mist, Massacre Records']","['Erik Sprooten', 'Domingo Smets', 'Walter Van Cortenberg', 'Davy Wouters', 'Gunther Theys']","['Bart Vandereycken', 'Johan', 'Philip', 'Stefan', 'Gunther Theys', 'Oliver Phillips']"
422,...And Oceans,Black_metal,"Helsinki, Finland","['Death metal, melodic death metal, symphonic black metal, experimental metal, blackgaze, industrial metal']",['Festerday: 1989—1992; since 2013...and Oceans: 1995—2005 Havoc Unit: since 2005'],['Century MediaSeason of Mist'],['Jos.f (Kena Strömsholm)T.kunz (Timo Kontio)Heinr.ich (Mika Aalto)Sa.myel (Sami Latva)'],['de Monde (Teemu Saari) Martex (Jani Martikkala)Mr. OosAntiPete (Petri Seikkula)']
423,Angelcorpse,Black_metal,"Kansas City, MO","['Blackened death metal, blackened thrash metal']","['1995–2000, 2006–2009, 2015-present']",['Osmose ProductionsThe End Records'],"['Pete Helmkamp', 'Gene Palubicki', 'Andrea Janko']","['Bill Taylor', 'Steve Bailey', 'Tony Laureano', 'John Longstreth', 'Paul Collier']"
424,Angizia,Black_metal,Austria,"['Avant-garde metal, folk metal, black metal, gothic metal, symphonic metal, classical music']",['1994–present'],['Napalm RecordsBlack Rose Productions'],,
425,Anorexia Nervosa,Black_metal,"Limoges, France","['Symphonic black metal, industrial metal (early), death metal (early)']",['1991–2005 (hiatus)'],"['Season of Mist, Osmose, Listenable']","['Stéphane Bayle', 'Nilcas Vant', 'Pierre Couquet', 'Neb Xort']","['Rose Hreidmarr', 'Mark Zabé', 'Stéphane Gerbaud']"
426,Antaeus,Black_metal,France,['Black metal'],['1993–present'],"['End All Life', 'Norma Evangelium Diaboli']","['MkM', 'Set', '']","['Piat', 'Storm', 'Black Priest', 'Kheer', 'Olivier', 'Philipe', 'Thorgon', 'Sagoth', '']"
